paper,setting,run_name,metric,published,source,ours,diff,status
FedCDA,cifar10 dir0.1 20 clients,fedcda_cifar10_dir0.1_fedavg,accuracy_last10_pct,50.43,Table 1 p.8,,,NOT RUN
FedCDA,cifar10 dir0.1 20 clients,fedcda_cifar10_dir0.1_fedcda,accuracy_last10_pct,62.46,Table 1 p.8,,,NOT RUN
FedCDA,cifar10 dir0.3 20 clients,fedcda_cifar10_dir0.3_fedavg,accuracy_last10_pct,61.11,Table 1 p.8,,,NOT RUN
FedCDA,cifar10 dir0.3 20 clients,fedcda_cifar10_dir0.3_fedcda,accuracy_last10_pct,70.27,Table 1 p.8,,,NOT RUN
FedCDA,cifar10 dir0.5 20 clients,fedcda_cifar10_dir0.5_fedavg,accuracy_last10_pct,67.37,Table 1 p.8,,,NOT RUN
FedCDA,cifar10 dir0.5 20 clients,fedcda_cifar10_dir0.5_fedcda,accuracy_last10_pct,74.96,Table 1 p.8,,,NOT RUN
FedFDP,MNIST Dir0.1 10 clients eps3.52,fedfdp_mnist_fedavgdp,accuracy_pct,93.40,Table 3 p.15,,,NOT RUN
FedFDP,MNIST Dir0.1 10 clients eps3.52,fedfdp_mnist_fedfdp,accuracy_pct,95.13,Table 3 p.15 (Table 5: 94.13),,,NOT RUN
FairWeight,adult R3C DP-constrained,fairweight_r3c_adult_fedavg,accuracy,0.77,Table II p.9,0.7153,-0.0547,GAP
FairWeight,adult R3C DP-constrained,fairweight_r3c_adult_fedavg,balanced_accuracy,0.79,Table II p.9,0.7935,+0.0035,OK
FairWeight,adult R3C DP-constrained,fairweight_r3c_adult_fedavg,dp,0.409,Table II p.9,0.3972,-0.0118,GAP
FairWeight,adult R3C DP-constrained,fairweight_r3c_adult_fairweight,accuracy,0.71,Table II p.9,0.5831,-0.1269,GAP
FairWeight,adult R3C DP-constrained,fairweight_r3c_adult_fairweight,balanced_accuracy,0.75,Table II p.9,0.7002,-0.0498,GAP
FairWeight,adult R3C DP-constrained,fairweight_r3c_adult_fairweight,dp,0.01,Table II p.9,0.1070,+0.0970,GAP
FairWeight,bank R3C DP-constrained,fairweight_r3c_bank_fedavg,accuracy,0.87,Table II p.9,0.8366,-0.0334,GAP
FairWeight,bank R3C DP-constrained,fairweight_r3c_bank_fedavg,balanced_accuracy,0.79,Table II p.9,0.8301,+0.0401,GAP
FairWeight,bank R3C DP-constrained,fairweight_r3c_bank_fedavg,dp,0.076,Table II p.9,0.1024,+0.0264,GAP
FairWeight,bank R3C DP-constrained,fairweight_r3c_bank_fairweight,accuracy,0.85,Table II p.9,0.8274,-0.0226,GAP
FairWeight,bank R3C DP-constrained,fairweight_r3c_bank_fairweight,balanced_accuracy,0.83,Table II p.9,0.8303,+0.0003,OK
FairWeight,bank R3C DP-constrained,fairweight_r3c_bank_fairweight,dp,0.011,Table II p.9,0.0637,+0.0527,GAP
FairWeight,default R3C DP-constrained,fairweight_r3c_default_fedavg,accuracy,0.78,Table II p.9,0.6070,-0.1730,GAP
FairWeight,default R3C DP-constrained,fairweight_r3c_default_fedavg,balanced_accuracy,0.69,Table II p.9,0.6791,-0.0109,OK
FairWeight,default R3C DP-constrained,fairweight_r3c_default_fedavg,dp,0.053,Table II p.9,0.0811,+0.0281,GAP
FairWeight,default R3C DP-constrained,fairweight_r3c_default_fairweight,accuracy,0.75,Table II p.9,0.5620,-0.1880,GAP
FairWeight,default R3C DP-constrained,fairweight_r3c_default_fairweight,balanced_accuracy,0.71,Table II p.9,0.6678,-0.0422,GAP
FairWeight,default R3C DP-constrained,fairweight_r3c_default_fairweight,dp,0.015,Table II p.9,0.0300,+0.0150,GAP
FairWeight,law R3C DP-constrained,fairweight_r3c_law_fedavg,accuracy,0.88,Table II p.9,0.8240,-0.0560,GAP
FairWeight,law R3C DP-constrained,fairweight_r3c_law_fedavg,balanced_accuracy,0.72,Table II p.9,0.7768,+0.0568,GAP
FairWeight,law R3C DP-constrained,fairweight_r3c_law_fedavg,dp,0.037,Table II p.9,0.0107,-0.0263,GAP
FairWeight,law R3C DP-constrained,fairweight_r3c_law_fairweight,accuracy,0.83,Table II p.9,0.8280,-0.0020,OK
FairWeight,law R3C DP-constrained,fairweight_r3c_law_fairweight,balanced_accuracy,0.78,Table II p.9,0.7744,-0.0056,OK
FairWeight,law R3C DP-constrained,fairweight_r3c_law_fairweight,dp,0.005,Table II p.9,0.0130,+0.0080,OK
FairRFL,CIFAR-10 50 clients phi=0.7 0% selfish,fairrfl_cifar10_fedavg_s0,acc_normal_pct,61.14,Table III p.329,,,NOT RUN
